,Подадена руда  от МГТЛ  за денонощието ,Състояние  на склад №2,Натрошена  руда от  Цех ССТ ,Класа_15,Класа_12,Превозена руда  до междинни бункери,Преработена  руда  в цех МФЦ ,Влага на преработената руда,Суха преработена руда,Грано,Unnamed: 13,Unnamed: 15,Unnamed: 17,Unnamed: 19,Unnamed: 21,Unnamed: 23,Метал  мед в рудите по Куриер ,Метал мед в отпадъка по Куриер,Метал мед в концентрата по Куриер,Товарно  извличане ,Добит  меден  концентрат,Влага на медния концентрат,Съдържание  на мед в медния к-т,Метал мед  в медния концентрат ,Литрово  тегло  в сгъстителя,"Меден  концентра, автомобилна везна"
202,7076.0,0.0,9210.0,1.0,3.7,10157.0,14509.0,0.077,13391.807,0.665,8905.551655000001,3026.5483820000004,1459.706963,2504.267909,7057.4822890000005,5356.7228000000005,45.5321438,3.6157878900000004,44.73469,0.9189156141062049,218.0,0.09,0.222,44.04036,1.75,504.6
203,5526.0,0.0,9965.0,1.5,3.9,10510.0,14523.0,0.081,13346.637,0.741,9889.858017,2162.1551940000004,1294.623789,2655.9807630000005,6993.637788000001,5472.12117,46.31283039,3.73705836,40.681083,0.908619337673526,202.0,0.085,0.2175,40.200525000000006,1.8,1201.28
204,6070.0,0.0,6836.0,0.9,5.1,7287.0,14606.0,0.078,13466.732,0.722,9722.980504,1979.609604,1764.141892,2679.879668,7043.1008360000005,5386.692800000001,45.7868888,3.7706849599999996,41.03022,0.9089199646323889,200.0,0.087,0.2222,40.57372,1.7,1009.74
205,8517.0,0.0,13184.0,0.8,3.5,13445.0,15204.0,0.076,14048.496000000001,0.689,9679.413744,1980.837936,2388.2443200000002,2950.1841600000002,7206.878448,5619.398400000001,47.62440144,4.07406384,42.842624400000005,0.9039521280564493,218.0,0.091,0.2081,41.237512200000005,1.7,501.96
206,5174.0,0.0,11152.0,0.7,3.3,11865.0,14231.0,0.083,13049.827000000001,0.617,8051.743259000001,1187.534257,3810.549484,2505.566784,6746.760559000001,5219.930800000001,43.325425640000006,3.65395156,40.833007200000004,0.9066882310232189,204.0,0.091,0.2076,38.4965136,1.85,1200.86
207,2938.0,1.0,12182.0,2.3,5.0,12939.0,14696.0,0.078,13549.712000000001,0.515,6978.101680000001,1653.0648640000002,4918.545456000001,2587.9949920000004,7262.645632000002,5419.884800000001,44.578552480000006,3.6584222400000006,39.633854400000004,0.9090646306879645,202.0,0.084,0.2131,39.43031920000001,1.7,1006.6
208,4220.0,0.0,11698.0,1.7,5.6,12514.0,14353.0,0.078,13233.466,0.577,7635.709881999999,2342.323482,3255.432636,2527.5920060000003,7040.203912000001,5293.3864,41.95008722,3.83770514,39.6717066,0.9019556231195212,206.0,0.079,0.2006,38.0590356,1.56,1000.2
209,3918.0,0.0,13265.0,1.2,4.4,13126.0,14759.0,0.087,13474.967,0.661,8906.953187000001,1738.270743,2829.74307,2560.24373,6616.208797,5389.986800000001,42.850395060000004,3.50349142,37.83247780000001,0.9079533803861057,191.0,0.077,0.2138,37.6914434,1.6,502.6
210,4904.0,0.0,9692.0,0.9,4.1,9793.0,14974.0,0.075,13850.95,0.697,9654.112149999999,2659.3824000000004,1537.4554500000002,2603.9786000000004,6980.8788,5540.380000000001,47.924287,3.878266,44.304705000000006,0.9163396344964228,225.0,0.079,0.2198,45.548055000000005,1.65,503.88
211,6483.0,0.0,8124.0,1.1,4.5,8235.0,15220.0,0.089,13865.42,0.606,8402.44452,3771.39424,1691.58124,2537.3718599999997,7043.63336,5546.168000000001,45.062615,3.7436634,32.901258,0.892388259416071,169.0,0.086,0.2205,34.059753,1.72,1201.7
212,3085.0,0.0,9304.0,1.2,4.2,9820.0,14457.0,0.09,13155.87,0.788,10366.825560000001,1894.44528,894.5991600000001,2446.99182,6512.155650000001,5262.348000000001,43.5459297,3.5520849,40.4301384,0.9156410034369784,212.0,0.091,0.2185,42.106698,1.7,999.48
213,6887.0,0.0,9113.0,1.4,5.8,9465.0,14606.0,0.078,13466.732,0.815,10975.386579999999,1589.0743759999998,902.2710440000001,2477.878688,7083.501032,5386.692800000001,45.92155612,3.7706849599999996,42.1655439,0.9108655393056719,213.0,0.089,0.2139,41.5057977,1.7,999.38
214,6467.0,0.0,9224.0,1.0,4.8,9712.0,14579.0,0.08,13412.68,0.748,10032.68464,1877.7752000000003,1502.22016,2414.2824,7028.244320000001,5230.9452,45.8713656,3.4872967999999998,36.117624,0.9053932564010673,185.0,0.086,0.2136,36.117624,1.65,510.16
215,6868.0,0.0,7204.0,0.8,4.4,8707.0,14409.0,0.081,13241.871000000001,0.756,10010.854476,2224.634328,1006.382196,2211.3924570000004,7335.996534000001,5296.7484,43.698174300000005,3.44288646,39.590419,0.9138463208961634,206.0,0.087,0.2099,39.477572200000004,1.75,503.6
216,4100.0,0.0,7405.0,0.9,5.2,7937.0,14980.0,0.087,13676.74,0.697,9532.687779999998,2188.2784,1955.77382,2653.28756,7193.96524,5333.9286,46.2273812,4.103021999999999,39.0964164,0.9013845839327649,204.0,0.093,0.2211,40.9096908,1.6,1002.3
