timestamp,RECOVERY_LINE1_CU_LONG,CUFLOTAS2-S7-400PV_CU_LINE_1,CUFLOTAS2-S7-400PV_FE_LINE1
2024-11-05 11:00:00,87.416,0.029,1.79725
2024-11-05 12:00:00,88.031,0.028,1.8623333333333332
2024-11-05 13:00:00,87.7185,0.028,1.854
2024-11-05 14:00:00,88.2156,0.027,1.8546666666666667
2024-11-05 15:00:00,88.25666666666666,0.0275,1.8273333333333335
2024-11-05 16:00:00,88.985,0.026,1.84075
2024-11-05 17:00:00,88.3655,0.028,1.8630000000000002
2024-11-05 18:00:00,88.3655,0.026,1.8630000000000002
2024-11-05 19:00:00,88.3655,0.0265,1.84575
2024-11-05 20:00:00,88.3655,0.0265,1.9383333333333335
2024-11-05 21:00:00,88.3655,0.0265,2.07025
2024-11-05 22:00:00,88.587,0.0265,1.86775
2024-11-05 23:00:00,88.67333333333333,0.026333333333333334,1.84275
2024-11-06 00:00:00,88.475,0.026333333333333334,1.8563333333333334
2024-11-06 01:00:00,88.3165,0.0285,1.8683333333333334
2024-11-06 02:00:00,88.3165,0.0285,1.853
2024-11-06 03:00:00,89.32275,0.027,1.827
2024-11-06 04:00:00,89.216,0.028,1.82
2024-11-06 05:00:00,89.216,0.028,1.8395
2024-11-06 06:00:00,88.89966666666668,0.0285,1.838
2024-11-06 07:00:00,89.1655,0.027,1.8015
2024-11-06 08:00:00,89.046,0.0275,1.7703333333333333
